Signal,Maximum Amplitude,Mean,S.D,Energy,Average Power,Label
"0      -0.001
1      -0.001
2      -0.001
3       0.000
4      -0.001
        ...  
3995   -0.001
3996   -0.001
3997   -0.001
3998   -0.001
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.035,-0.000363,0.0037835578266304935,0.057774000000000006,7.220847394075741e-06,Movement
"0       0.000
1       0.000
2      -0.001
3      -0.001
4       0.000
        ...  
3995    0.002
3996   -0.001
3997   -0.004
3998   -0.007
3999   -0.006
Name: 2, Length: 4000, dtype: float64",0.026,-0.00037525,0.002809699457283655,0.032133,4.016122984626922e-06,Movement
"0      -0.005
1      -0.003
2      -0.001
3       0.002
4       0.007
        ...  
3995    0.000
3996    0.000
3997    0.000
3998    0.000
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.02,-0.000352,0.0030426814617405163,0.037517999999999996,4.6891638545181846e-06,Movement
"0       0.000
1       0.000
2       0.000
3       0.000
4       0.000
        ...  
3995   -0.001
3996   -0.001
3997    0.000
3998    0.000
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.019,-0.00036375000000000003,0.0025621430642667952,0.026781,3.347206599175103e-06,Movement
"0      -0.001
1      -0.001
2       0.000
3       0.000
4       0.000
        ...  
3995    0.006
3996    0.007
3997    0.008
3998    0.008
3999    0.010
Name: 2, Length: 4000, dtype: float64",0.061,-0.00038,0.0028510756142269378,0.033084,4.134983127109112e-06,Movement
"0       0.001
1       0.001
2       0.001
3       0.000
4      -0.002
        ...  
3995   -0.001
3996   -0.001
3997   -0.001
3998   -0.001
3999   -0.002
Name: 2, Length: 4000, dtype: float64",0.039,-0.00037375,0.0038059403874809,0.058484999999999995,7.3097112860892385e-06,Movement
"0      -0.002
1      -0.001
2      -0.001
3      -0.001
4      -0.001
        ...  
3995   -0.001
3996   -0.001
3997    0.000
3998    0.000
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.036,-0.00037150000000000003,0.003921330381132084,0.062043999999999995,7.754530683664541e-06,Movement
"0       0.000
1       0.000
2       0.001
3       0.001
4       0.000
        ...  
3995   -0.001
3996    0.000
3997   -0.001
3998   -0.001
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.032,-0.000377,0.003435669069553829,0.047771999999999995,5.970753655793025e-06,Movement
"0       0.000
1      -0.001
2      -0.001
3      -0.001
4      -0.001
        ...  
3995   -0.002
3996   -0.003
3997   -0.003
3998   -0.002
3999   -0.002
Name: 2, Length: 4000, dtype: float64",0.031,-0.000388,0.003635486238462128,0.053456000000000004,6.6811648543932014e-06,Movement
"0       0.011
1       0.009
2       0.008
3       0.005
4      -0.001
        ...  
3995    0.001
3996    0.001
3997    0.001
3998    0.001
3999    0.001
Name: 2, Length: 4000, dtype: float64",0.076,-0.000375,0.003232411966594055,0.042346,5.292588426446695e-06,Movement
